rassrecv,h14itot,r13jhours,r14isret,racohbyr,r14ipena,r14jnjob,r14hlthlm,r14peninc,r14peni_n,h14absns,r13jhour2,h14adebt,r14jlten,h14atota,r14mstath,r13iearn,inw4,inw5,inw6,inw7,inw8,inw9,inw10,inw11,inw12,inw13,inw14,retire,r14agey_b,ragender
1,47320,32,12000,3,0,9,0,0,0,0,4,0,25,475000,1,29000,0,0,0,0,0,0,0,0,0,0,1,1,80,2
1,57200,36,19200,3,0,10,1,0,0,30000,10,0,17.1,358000,7,22000,0,0,0,0,0,0,0,0,0,0,1,0,80,2
1,75184,0,24000,4,2000,4,0,0,0,0,0,3500,12.6,280500,1,27000,0,0,0,0,0,0,0,0,0,0,1,1,76,1
1,67099,0,23040,3,0,6,1,0,0,0,0,0,9.7,123000,1,35000,0,0,0,0,0,0,0,0,0,0,1,1,77,1
1,67099,40,19008,5,0,6,0,0,0,0,0,0,13.3,123000,1,40000,0,0,0,0,0,0,0,0,0,0,1,0,68,2
1,57000,16,25200,3,20964,3,0,1,2,0,0,0,22.2,737985.3906,7,12000,0,0,0,0,0,0,0,0,0,0,1,1,77,2
1,108799,32,4284,3,67500,6,1,1,2,0,0,0,27.7,125000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,79,1
1,108799,0,6000,5,0,5,0,0,0,0,0,0,12.7,125000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,68,2
1,68520,16,20520,4,9000,1,1,1,1,0,0,900,36.9,79100,5,15000,0,0,0,0,0,0,0,0,0,0,1,1,74,2
1,78008,24,18000,4,18000,5,1,1,1,70000,16,0,11.8,576000,7,39000,0,0,0,0,0,0,0,0,0,0,1,0,75,2
1,88000,24,24000,4,36000,2,1,1,1,0,0,0,47.6,1331000,7,25000,0,0,0,0,0,0,0,0,0,0,1,1,75,2
1,84800,40,22800,4,12000,1,0,1,1,35000,0,0,30.1,189000,7,18000,0,0,0,0,0,0,0,0,0,0,1,1,76,2
1,53656,0,18600,4,0,4,1,0,0,3,0,0,16.2,996867,1,9000,0,0,0,0,0,0,0,0,0,0,1,1,75,2
